"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативный тест: проверка отсутствия результатов","6029","test_search_negative_no_results[chromium]","tests.UI_tests","Fri May 01 16:07:36 UTC 2026","passed","Fri May 01 16:07:42 UTC 2026","","test_for_books_new","",""
"","1339","test_navigation_to_books[chromium]","tests.UI_tests","Fri May 01 16:07:52 UTC 2026","passed","Fri May 01 16:07:53 UTC 2026","","test_navigation_to_books","",""
"","6518","test_search_for_books[chromium]","tests.UI_tests","Fri May 01 16:07:55 UTC 2026","passed","Fri May 01 16:08:01 UTC 2026","","test_search_books_bytitle","",""
"","5563","test_login_short[chromium-your@email.com]","tests.UI_tests","Thu Apr 30 11:37:42 UTC 2026","passed","Thu Apr 30 11:37:48 UTC 2026","","test_login","",""
"","3363","test_login_failed[chromium]","tests.UI_tests","Thu Apr 30 13:37:30 UTC 2026","broken","Thu Apr 30 13:37:33 UTC 2026","TestLogin","test_login","",""
"","760","test_search_no_results_parametrized[chromium-!@#$%^&*-special_chars]","tests.e2e_tests","Fri May 01 16:08:20 UTC 2026","passed","Fri May 01 16:08:20 UTC 2026","","test_negative1","",""
"Проверяет доступность подразделов сайта","608","test_sections_availability[tag/tools-Tools]","tests.API_tests","Fri May 01 16:08:28 UTC 2026","passed","Fri May 01 16:08:29 UTC 2026","","test_api","",""
"","0","test_simple_login_check[chromium]","tests.UI_tests","Thu Apr 30 13:27:00 UTC 2026","broken","Thu Apr 30 13:27:00 UTC 2026","","test_login","",""
"","1590","test_login_success_simulation[chromium-test@example.com-123456]","tests.UI_tests","Fri May 01 16:08:01 UTC 2026","passed","Fri May 01 16:08:03 UTC 2026","","test_search_content","",""
"","1119","test_verify_articles_api_and_ui[chromium]","tests.API_tests","Fri May 01 16:07:26 UTC 2026","passed","Fri May 01 16:07:27 UTC 2026","","test_api1","",""
"","760","test_search_no_results[chromium]","tests.e2e_tests","Fri May 01 16:08:18 UTC 2026","passed","Fri May 01 16:08:19 UTC 2026","","test_negative","",""
"","763","test_search_for_books_with_pom[chromium]","tests.UI_tests","Fri May 01 16:08:03 UTC 2026","passed","Fri May 01 16:08:04 UTC 2026","","test_search_for_books","",""
"","773","test_search_no_results_parametrized[chromium-\u041f\u0440\u0438\u0432\u0435\u0442\u041c\u0438\u0440-cyrillic]","tests.e2e_tests","Fri May 01 16:08:23 UTC 2026","passed","Fri May 01 16:08:24 UTC 2026","","test_negative1","",""
"","945","test_e2e_open_article[chromium]","tests.e2e_tests","Fri May 01 16:08:25 UTC 2026","passed","Fri May 01 16:08:26 UTC 2026","","test_search_e2e","",""
"","492","test_main_page_content_integrity","tests.API_tests","Fri May 01 16:07:23 UTC 2026","passed","Fri May 01 16:07:23 UTC 2026","","test_api","",""
"","2601","test_search_flow_debug[chromium]","tests.e2e_tests","Fri May 01 16:08:05 UTC 2026","passed","Fri May 01 16:08:07 UTC 2026","","test_about_flow","",""
"","729","test_account_form_opens[chromium]","tests.e2e_tests","Fri May 01 16:08:17 UTC 2026","passed","Fri May 01 16:08:18 UTC 2026","","test_negative","",""
"","851","test_navigation_menu_responsive[chromium]","tests.UI_tests","Fri May 01 16:07:50 UTC 2026","passed","Fri May 01 16:07:51 UTC 2026","","test_navigation","",""
"","692","test_homepage_visual_layout[chromium]","tests.UI_tests","Fri May 01 16:07:49 UTC 2026","passed","Fri May 01 16:07:50 UTC 2026","","test_navigation","",""
"","385","test_main_page_performance","tests.API_tests","Fri May 01 16:07:23 UTC 2026","passed","Fri May 01 16:07:23 UTC 2026","","test_api","",""
"","692","test_home_has_books[chromium]","tests.e2e_tests","Fri May 01 16:08:12 UTC 2026","passed","Fri May 01 16:08:13 UTC 2026","","test_homepage_displays_book_cards","",""
"","952","test_open_article_and_verify_title[chromium]","tests.e2e_tests","Fri May 01 16:08:24 UTC 2026","passed","Fri May 01 16:08:25 UTC 2026","","test_open_article_and_verify_title_e2e","",""
"","767","test_search_no_results_parametrized[chromium-1234567890-digits]","tests.e2e_tests","Fri May 01 16:08:20 UTC 2026","passed","Fri May 01 16:08:21 UTC 2026","","test_negative1","",""
"","772","test_main_page_status","tests.API_tests","Fri May 01 16:07:21 UTC 2026","passed","Fri May 01 16:07:22 UTC 2026","","test_api","",""
"","1198","test_search_via_iframe[chromium]","tests.e2e_tests","Fri May 01 16:08:26 UTC 2026","passed","Fri May 01 16:08:27 UTC 2026","","test_search_via_iframe","",""
"","964","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","Fri May 01 16:07:29 UTC 2026","passed","Fri May 01 16:07:30 UTC 2026","","test_account_button","",""
"Проверяет доступность подразделов сайта","615","test_sections_availability[books-Books]","tests.API_tests","Fri May 01 16:08:27 UTC 2026","passed","Fri May 01 16:08:27 UTC 2026","","test_api","",""
"","767","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Fri May 01 16:08:22 UTC 2026","passed","Fri May 01 16:08:23 UTC 2026","","test_negative1","",""
"","757","test_search_opens[chromium]","tests.UI_tests","Fri May 01 16:08:04 UTC 2026","passed","Fri May 01 16:08:05 UTC 2026","","test_search_opens","",""
"","3387","test_login_success[chromium]","tests.UI_tests","Thu Apr 30 13:37:25 UTC 2026","broken","Thu Apr 30 13:37:29 UTC 2026","TestLogin","test_login","",""
"","947","test_navigation_to_any_menu_item[chromium]","tests.UI_tests","Fri May 01 16:07:51 UTC 2026","passed","Fri May 01 16:07:52 UTC 2026","","test_navigation_to_about","",""
"","19700","test_search_works[chromium]","tests.UI_tests","Thu Apr 30 13:38:21 UTC 2026","failed","Thu Apr 30 13:38:41 UTC 2026","TestNavigation","test_login","",""
"Позитивный тест: должен пройти со словом AI","3001","test_search_valid_book[chromium]","tests.UI_tests","Fri May 01 16:07:33 UTC 2026","passed","Fri May 01 16:07:36 UTC 2026","","test_for_books_new","",""
"Проверяет доступность подразделов сайта","718","test_sections_availability[tools-Tools]","tests.API_tests","Fri May 01 16:08:27 UTC 2026","passed","Fri May 01 16:08:28 UTC 2026","","test_api","",""
"","763","test_search_clear[chromium]","tests.e2e_tests","Fri May 01 16:08:19 UTC 2026","passed","Fri May 01 16:08:19 UTC 2026","","test_negative","",""
"","1353","test_navigate_to_tools[chromium]","tests.UI_tests","Fri May 01 16:07:48 UTC 2026","passed","Fri May 01 16:07:49 UTC 2026","","test_navigate_to_tools","",""
"","957","test_open_first_book[chromium]","tests.UI_tests","Fri May 01 16:07:54 UTC 2026","passed","Fri May 01 16:07:55 UTC 2026","","test_open_first_book","",""
"","1560","test_search_logic[chromium]","tests.UI_tests","Fri May 01 16:07:27 UTC 2026","passed","Fri May 01 16:07:29 UTC 2026","","test_AAA_search","",""
"","907","test_navigate_to_books[chromium]","tests.UI_tests","Fri May 01 16:07:43 UTC 2026","passed","Fri May 01 16:07:44 UTC 2026","TestUI","test_login","",""
"","790","test_search_no_results_parametrized[chromium-\u041e\u0447\u0435\u043d\u044c\u0414\u043b\u0438\u043d\u043d\u0430\u044f\u0421\u0442\u0440\u043e\u043a\u0430\u041a\u043e\u0442\u043e\u0440\u043e\u0439\u041d\u0435\u0442\u041d\u0430\u0421\u0430\u0439\u0442\u0435-long_string]","tests.e2e_tests","Fri May 01 16:08:21 UTC 2026","passed","Fri May 01 16:08:22 UTC 2026","","test_negative1","",""
"","660","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Fri May 01 16:07:42 UTC 2026","passed","Fri May 01 16:07:43 UTC 2026","","test_home_page","",""
"","823","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Fri May 01 16:08:16 UTC 2026","passed","Fri May 01 16:08:17 UTC 2026","","test_navigation_books_section_e2e","",""
"","2937","test_navigation_to_books[chromium]","tests.UI_tests","Fri May 01 16:07:30 UTC 2026","passed","Fri May 01 16:07:33 UTC 2026","","test_books_page","",""
"","4596","test_full_navigation_e2e[chromium]","tests.e2e_tests","Fri May 01 16:08:07 UTC 2026","passed","Fri May 01 16:08:12 UTC 2026","","test_e2e_flow","",""
"","293","test_main_page_headers","tests.API_tests","Fri May 01 16:07:22 UTC 2026","passed","Fri May 01 16:07:22 UTC 2026","","test_api","",""
"","3894","test_navigate_to_books[chromium]","tests.UI_tests","Thu Apr 30 13:38:17 UTC 2026","passed","Thu Apr 30 13:38:21 UTC 2026","TestNavigation","test_login","",""
"","4053","test_search_works[chromium]","tests.UI_tests","Fri May 01 16:07:44 UTC 2026","skipped","Fri May 01 16:07:48 UTC 2026","TestUI","test_login","",""
"Проверяет, что заголовок из UI присутствует в коде API","994","test_latest_article_consistency[chromium]","tests.API_tests","Fri May 01 16:07:25 UTC 2026","passed","Fri May 01 16:07:26 UTC 2026","","test_api","",""
"","667","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Fri May 01 16:07:53 UTC 2026","passed","Fri May 01 16:07:54 UTC 2026","","test_newsletter_subscription","",""
"","3470","test_independent_flow[chromium]","tests.e2e_tests","Fri May 01 16:08:13 UTC 2026","passed","Fri May 01 16:08:16 UTC 2026","","test_independent_flow","",""
