"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2946","test_search_flow_debug[chromium]","tests.e2e_tests","Thu Apr 30 14:30:41 UTC 2026","passed","Thu Apr 30 14:30:43 UTC 2026","","test_about_flow","",""
"","1482","test_navigate_to_tools[chromium]","tests.UI_tests","Thu Apr 30 14:30:22 UTC 2026","passed","Thu Apr 30 14:30:24 UTC 2026","","test_navigate_to_tools","",""
"","1302","test_search_via_iframe[chromium]","tests.e2e_tests","Thu Apr 30 14:31:03 UTC 2026","passed","Thu Apr 30 14:31:04 UTC 2026","","test_search_via_iframe","",""
"","993","test_login_short[chromium-your@email.com]","tests.UI_tests","Thu Apr 30 14:30:21 UTC 2026","passed","Thu Apr 30 14:30:22 UTC 2026","","test_login","",""
"","1603","test_search_logic[chromium]","tests.UI_tests","Thu Apr 30 14:29:54 UTC 2026","passed","Thu Apr 30 14:29:56 UTC 2026","","test_AAA_search","",""
"Позитивный тест: должен пройти со словом AI","2137","test_search_valid_book[chromium]","tests.UI_tests","Thu Apr 30 14:30:00 UTC 2026","passed","Thu Apr 30 14:30:02 UTC 2026","","test_for_books_new","",""
"","1017","test_e2e_open_article[chromium]","tests.e2e_tests","Thu Apr 30 14:31:02 UTC 2026","passed","Thu Apr 30 14:31:03 UTC 2026","","test_search_e2e","",""
"","825","test_search_no_results[chromium]","tests.e2e_tests","Thu Apr 30 14:30:55 UTC 2026","passed","Thu Apr 30 14:30:56 UTC 2026","","test_negative","",""
"","768","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Thu Apr 30 14:30:28 UTC 2026","passed","Thu Apr 30 14:30:29 UTC 2026","","test_newsletter_subscription","",""
"","6600","test_search_for_books[chromium]","tests.UI_tests","Thu Apr 30 14:30:30 UTC 2026","passed","Thu Apr 30 14:30:37 UTC 2026","","test_search_books_bytitle","",""
"","3180","test_navigation_to_books[chromium]","tests.UI_tests","Thu Apr 30 14:29:57 UTC 2026","passed","Thu Apr 30 14:30:00 UTC 2026","","test_books_page","",""
"Негативный тест: проверка отсутствия результатов","18048","test_search_negative_no_results[chromium]","tests.UI_tests","Thu Apr 30 14:30:02 UTC 2026","passed","Thu Apr 30 14:30:20 UTC 2026","","test_for_books_new","",""
"","850","test_search_clear[chromium]","tests.e2e_tests","Thu Apr 30 14:30:56 UTC 2026","passed","Thu Apr 30 14:30:56 UTC 2026","","test_negative","",""
"","335","test_main_page_performance","tests.API_tests","Thu Apr 30 14:29:50 UTC 2026","passed","Thu Apr 30 14:29:50 UTC 2026","","test_api","",""
"","1139","test_open_first_book[chromium]","tests.UI_tests","Thu Apr 30 14:30:29 UTC 2026","passed","Thu Apr 30 14:30:30 UTC 2026","","test_open_first_book","",""
"","1051","test_open_article_and_verify_title[chromium]","tests.e2e_tests","Thu Apr 30 14:31:01 UTC 2026","passed","Thu Apr 30 14:31:02 UTC 2026","","test_open_article_and_verify_title_e2e","",""
"","826","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Thu Apr 30 14:30:59 UTC 2026","passed","Thu Apr 30 14:31:00 UTC 2026","","test_negative1","",""
"","817","test_account_form_opens[chromium]","tests.e2e_tests","Thu Apr 30 14:30:54 UTC 2026","passed","Thu Apr 30 14:30:55 UTC 2026","","test_negative","",""
"","831","test_search_no_results_parametrized[chromium-\u041e\u0447\u0435\u043d\u044c\u0414\u043b\u0438\u043d\u043d\u0430\u044f\u0421\u0442\u0440\u043e\u043a\u0430\u041a\u043e\u0442\u043e\u0440\u043e\u0439\u041d\u0435\u0442\u041d\u0430\u0421\u0430\u0439\u0442\u0435-long_string]","tests.e2e_tests","Thu Apr 30 14:30:58 UTC 2026","passed","Thu Apr 30 14:30:59 UTC 2026","","test_negative1","",""
"","1064","test_main_page_status","tests.API_tests","Thu Apr 30 14:29:48 UTC 2026","passed","Thu Apr 30 14:29:49 UTC 2026","","test_api","",""
"Проверяет доступность подразделов сайта","667","test_sections_availability[books-Books]","tests.API_tests","Thu Apr 30 14:31:04 UTC 2026","passed","Thu Apr 30 14:31:05 UTC 2026","","test_api","",""
"","1089","test_verify_articles_api_and_ui[chromium]","tests.API_tests","Thu Apr 30 14:29:53 UTC 2026","passed","Thu Apr 30 14:29:54 UTC 2026","","test_api1","",""
"","1640","test_login_success_simulation[chromium-test@example.com-123456]","tests.UI_tests","Thu Apr 30 14:30:37 UTC 2026","passed","Thu Apr 30 14:30:39 UTC 2026","","test_search_content","",""
"","816","test_homepage_visual_layout[chromium]","tests.UI_tests","Thu Apr 30 14:30:24 UTC 2026","passed","Thu Apr 30 14:30:25 UTC 2026","","test_navigation","",""
"","757","test_home_has_books[chromium]","tests.e2e_tests","Thu Apr 30 14:30:48 UTC 2026","passed","Thu Apr 30 14:30:49 UTC 2026","","test_homepage_displays_book_cards","",""
"","4797","test_full_navigation_e2e[chromium]","tests.e2e_tests","Thu Apr 30 14:30:43 UTC 2026","passed","Thu Apr 30 14:30:48 UTC 2026","","test_e2e_flow","",""
"Проверяет доступность подразделов сайта","797","test_sections_availability[tools-Tools]","tests.API_tests","Thu Apr 30 14:31:05 UTC 2026","passed","Thu Apr 30 14:31:06 UTC 2026","","test_api","",""
"","843","test_search_for_books_with_pom[chromium]","tests.UI_tests","Thu Apr 30 14:30:39 UTC 2026","passed","Thu Apr 30 14:30:40 UTC 2026","","test_search_for_books","",""
"","956","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","Thu Apr 30 14:29:56 UTC 2026","passed","Thu Apr 30 14:29:57 UTC 2026","","test_account_button","",""
"","832","test_search_no_results_parametrized[chromium-1234567890-digits]","tests.e2e_tests","Thu Apr 30 14:30:57 UTC 2026","passed","Thu Apr 30 14:30:58 UTC 2026","","test_negative1","",""
"","814","test_search_opens[chromium]","tests.UI_tests","Thu Apr 30 14:30:40 UTC 2026","passed","Thu Apr 30 14:30:40 UTC 2026","","test_search_opens","",""
"Проверяет доступность подразделов сайта","793","test_sections_availability[tag/tools-Tools]","tests.API_tests","Thu Apr 30 14:31:06 UTC 2026","passed","Thu Apr 30 14:31:07 UTC 2026","","test_api","",""
"","956","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Thu Apr 30 14:30:53 UTC 2026","passed","Thu Apr 30 14:30:54 UTC 2026","","test_navigation_books_section_e2e","",""
"","861","test_search_no_results_parametrized[chromium-\u041f\u0440\u0438\u0432\u0435\u0442\u041c\u0438\u0440-cyrillic]","tests.e2e_tests","Thu Apr 30 14:31:00 UTC 2026","passed","Thu Apr 30 14:31:01 UTC 2026","","test_negative1","",""
"","581","test_main_page_content_integrity","tests.API_tests","Thu Apr 30 14:29:50 UTC 2026","passed","Thu Apr 30 14:29:51 UTC 2026","","test_api","",""
"Проверяет, что заголовок из UI присутствует в коде API","1490","test_latest_article_consistency[chromium]","tests.API_tests","Thu Apr 30 14:29:52 UTC 2026","passed","Thu Apr 30 14:29:53 UTC 2026","","test_api","",""
"","780","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Thu Apr 30 14:30:20 UTC 2026","passed","Thu Apr 30 14:30:21 UTC 2026","","test_home_page","",""
"","1452","test_navigation_to_books[chromium]","tests.UI_tests","Thu Apr 30 14:30:27 UTC 2026","passed","Thu Apr 30 14:30:28 UTC 2026","","test_navigation_to_books","",""
"","3658","test_independent_flow[chromium]","tests.e2e_tests","Thu Apr 30 14:30:49 UTC 2026","passed","Thu Apr 30 14:30:53 UTC 2026","","test_independent_flow","",""
"","332","test_main_page_headers","tests.API_tests","Thu Apr 30 14:29:49 UTC 2026","passed","Thu Apr 30 14:29:50 UTC 2026","","test_api","",""
"","968","test_navigation_menu_responsive[chromium]","tests.UI_tests","Thu Apr 30 14:30:25 UTC 2026","passed","Thu Apr 30 14:30:26 UTC 2026","","test_navigation","",""
"","1067","test_navigation_to_any_menu_item[chromium]","tests.UI_tests","Thu Apr 30 14:30:26 UTC 2026","passed","Thu Apr 30 14:30:27 UTC 2026","","test_navigation_to_about","",""
"","848","test_search_no_results_parametrized[chromium-!@#$%^&*-special_chars]","tests.e2e_tests","Thu Apr 30 14:30:56 UTC 2026","passed","Thu Apr 30 14:30:57 UTC 2026","","test_negative1","",""
